Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
MMP16	"C8orf57, DKFZp761D112, MT3-MMP"	ENSG00000156103	"Matrix metallopeptidase 16"	P51512	8	88032011-88328025	"Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Collagen degradation"	"Hydrolase, Metalloprotease, Protease"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 5.4"	"Cell type enriched"	"Detected in some"	5	"Oligodendrocyte precursor cells: 2254.1"	"Cancer enhanced"	"Detected in many"		"glioma: 4.8"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"skin cancer: 11.0"	"Heart muscle - Fibroblasts, Lung - Fibroblast_2, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Skin - Fibroblast_1"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA023693	Uncertain		Approved	Vesicles,Cytosol	"Secreted to extracellular matrix"	Enzyme	NA	NA				"Cluster 64: Neuronal - Transcription"	"Cluster 53: Neurons - Mixed function"	"Cluster 69: Skin cancer - ECM organization"	"Cluster 76: Oligodendrocyte precursor - Unknown function"		Cytosol	Vesicles	"HPA023693: AB_1854025"	"unprognostic (2.58e-1)"	"unprognostic (2.42e-2)"	"unprognostic (1.38e-1)"	"unprognostic (1.87e-1)"	"unprognostic (7.09e-2)"	"unprognostic (3.31e-2)"	"unprognostic (2.39e-3)"	"unprognostic (1.45e-3)"	"unprognostic (2.46e-1)"	"unprognostic (2.61e-1)"	"unprognostic (9.42e-2)"	"unprognostic (2.92e-1)"	"unprognostic (2.09e-8)"	"unprognostic (6.90e-3)"	"unprognostic (1.16e-1)"	"unprognostic (3.62e-1)"	"unprognostic (2.19e-3)"
MMP17	MT4-MMP	ENSG00000198598	"Matrix metallopeptidase 17"	Q9ULZ9	12	131828393-131851783	"Enzymes, Predicted intracellular proteins, Predicted secreted proteins"		"Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	4	"brain: 45.3"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 45.4;Inhibitory neurons: 13.6;Melanocytes: 41.2;monocytes: 21.7;Oligodendrocyte precursor cells: 25.0"	"Cancer enriched"	"Detected in many"	10	"melanoma: 29.9"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	5	"skin cancer: 61.3"	"Colon - Enteric glia cells, Heart muscle - Fibroblasts, Stomach - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"								"Secreted to extracellular matrix"	Enzyme	NA	NA			"Cluster 2: Dendritic cells - Unknown function"	"Cluster 33: Brain - Neuronal signaling"	"Cluster 51: Neurons - Mixed function"	"Cluster 69: Skin cancer - ECM organization"	"Cluster 34: Neurons - Neuronal signaling"					"unprognostic (9.11e-2)"	"unprognostic (1.27e-2)"	"unprognostic (1.69e-2)"	"unprognostic (3.71e-3)"	"unprognostic (5.62e-2)"	"unprognostic (1.85e-2)"	"unprognostic (8.90e-3)"	"unprognostic (2.14e-2)"	"unprognostic (2.60e-1)"	"unprognostic (2.66e-4)"	"unprognostic (7.68e-2)"	"unprognostic (5.88e-2)"	"unprognostic (9.26e-10)"	"unprognostic (1.15e-2)"	"unprognostic (2.65e-1)"	"unprognostic (1.21e-3)"	"unprognostic (2.81e-2)"
MMP19	"MMP18, RASI-1"	ENSG00000123342	"Matrix metallopeptidase 19"	Q99542	12	55835433-55842966	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted secreted proteins"	"Angiogenesis, Collagen degradation, Differentiation"	"Developmental protein, Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adipose tissue: 56.6"	"Cell type enhanced"	"Detected in many"		"Extravillous trophoblasts: 58.2;Fibroblasts: 53.4;Kupffer cells: 36.9;Langerhans cells: 98.2;Macrophages: 96.4;Mesothelial cells: 32.4"	"Low cancer specificity"	"Detected in all"			"Region enhanced"	"Detected in single"		"thalamus: 2.7"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Brain cancer: 3.9"	"Breast - Adipocytes (Breast), Colon - Neutrophils"	"Region enriched"	"Detected in many"	5	"olfactory bulb: 7.2"	"Low region specificity"	"Detected in all"			HPA070804			Approved	"Endoplasmic reticulum,Vesicles"	"Secreted to extracellular matrix"	"Developmental protein"	NA	NA		2100000		"Cluster 7: Adipose tissue - Mixed function"	"Cluster 12: Non-specific - Vasculature"	"Cluster 34: Testis cancer - Unknown function"	"Cluster 58: Macrophages - Innate immune response"		"Endoplasmic reticulum, Vesicles"		"HPA070804: AB_2686315"	"unprognostic (2.61e-1)"	"unprognostic (6.56e-2)"	"unprognostic (2.28e-2)"	"unprognostic (2.42e-1)"	"unprognostic (4.77e-3)"	"unprognostic (4.77e-3)"	"unprognostic (2.01e-2)"	"unprognostic (4.03e-2)"	"unprognostic (2.85e-2)"	"unprognostic (4.30e-2)"	"unprognostic (2.37e-1)"	"unprognostic (2.09e-1)"	"prognostic unfavorable (8.56e-9)"	"unprognostic (5.06e-3)"	"unprognostic (1.28e-3)"	"unprognostic (2.73e-2)"	"unprognostic (4.00e-2)"
MMP2	"CLG4, CLG4A, TBE-1"	ENSG00000087245	"Matrix metallopeptidase 2"	P08253	16	55389700-55506691	"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"	"Angiogenesis, Collagen degradation"	"Hydrolase, Metalloprotease, Protease"	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"gallbladder: 1025.9"	"Cell type enhanced"	"Detected in many"		"Endometrial stromal cells: 219.7;Extravillous trophoblasts: 528.1;Fibroblasts: 757.2;Leydig cells: 332.5;Peritubular cells: 398.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"testis cancer: 781.9"	"Heart muscle - Fibroblasts, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Lung - Fibroblast_2, Prostate - Fibroblasts, Skin - Fibroblast_2, Stomach - Fibroblasts"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA001939, CAB002788"	Approved		Approved	Vesicles	"Secreted to extracellular matrix"	Enzyme	NA	NA	1600000000	220000000		"Cluster 62: Connective tissue - ECM organization"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 44: Connective tissue cells - ECM organization"	"Cluster 53: Fibroblasts - ECM organization"	5	Vesicles		"CAB002788: , HPA001939: AB_1079395"	"unprognostic (7.26e-2)"	"unprognostic (1.36e-3)"	"unprognostic (1.66e-1)"	"unprognostic (2.14e-3)"	"unprognostic (5.03e-2)"	"unprognostic (1.20e-1)"	"unprognostic (1.74e-1)"	"unprognostic (9.36e-3)"	"unprognostic (4.81e-3)"	"unprognostic (3.79e-2)"	"unprognostic (4.59e-3)"	"unprognostic (6.12e-2)"	"unprognostic (1.28e-3)"	"unprognostic (1.59e-2)"	"unprognostic (8.00e-2)"	"unprognostic (8.98e-2)"	"unprognostic (4.63e-2)"
MMP20		ENSG00000137674	"Matrix metallopeptidase 20"	O60882	11	102576832-102625332	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted secreted proteins"		"Hydrolase, Metalloprotease, Protease"	"Amelogenesis imperfecta"	"Evidence at protein level"	"No human protein/transcript evidence"	"Evidence at protein level"	"Evidence at protein level"	"Not detected"	"Not detected"			"Cell type enriched"	"Detected in some"	18	"Early spermatids: 124.4"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	6	"lymphoma: 2.0;prostate cancer: 2.6"	"Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"								"Secreted to extracellular matrix"	Enzyme	NA	NA						"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 18: Early spermatids - Unknown function"					"unprognostic (4.62e-3)"		"unprognostic (2.61e-2)"	"unprognostic (1.68e-3)"		"unprognostic (1.75e-1)"		"unprognostic (2.13e-1)"		"unprognostic (3.06e-1)"	"unprognostic (2.97e-2)"	"unprognostic (6.75e-2)"	"unprognostic (9.58e-5)"	"unprognostic (6.10e-2)"		"unprognostic (2.35e-1)"	
MMP21		ENSG00000154485	"Matrix metallopeptidase 21"	Q8N119	10	125753580-125775821	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"		"Hydrolase, Metalloprotease, Protease"	Heterotaxy	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enriched"	"Detected in some"	16	"epididymis: 52.6"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 4.4;Late spermatids: 15.9;Ovarian stromal cells: 6.0;Rod photoreceptor cells: 3.7"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in single"				"Not detected"	"Not detected"												"Secreted to extracellular matrix"	Enzyme	NA	NA				"Cluster 50: Epididymis - Male reproductive secretion"	"Cluster 10: Cerebellum - Nucleic acid binding"	"Cluster 56: Non-specific - Sensory perception"	"Cluster 6: Ovarian stromal cells - Transcription"					"unprognostic (1.32e-2)"	"unprognostic (1.28e-1)"	"unprognostic (8.51e-2)"	"unprognostic (2.19e-2)"	"unprognostic (4.02e-2)"	"unprognostic (2.21e-2)"	"unprognostic (4.22e-3)"	"unprognostic (1.01e-1)"	"unprognostic (2.12e-1)"	"unprognostic (1.48e-1)"	"unprognostic (2.89e-2)"	"unprognostic (3.62e-2)"	"unprognostic (9.70e-8)"	"unprognostic (1.30e-2)"	"unprognostic (7.69e-2)"	"unprognostic (7.00e-2)"	"unprognostic (2.18e-1)"
MMP24	MT5-MMP	ENSG00000125966	"Matrix metallopeptidase 24"	Q9Y5R2	20	35226690-35276998	"Enzymes, Predicted membrane proteins, Predicted secreted proteins"	"Cell adhesion"	"Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	9	"brain: 69.3"	"Cell type enhanced"	"Detected in some"		"Alveolar cells type 1: 17.4;Excitatory neurons: 23.8;Horizontal cells: 15.1;Inhibitory neurons: 36.8;Mesothelial cells: 20.4;Oligodendrocyte precursor cells: 11.8;Oligodendrocytes: 11.2;Proximal tubular cells: 13.6"	"Cancer enhanced"	"Detected in many"		"renal cancer: 11.4;testis cancer: 10.8"	"Region enriched"	"Detected in all"	4	"cerebellum: 88.8"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Bile duct cancer: 30.5;Kidney cancer: 41.0"	"Adipose visceral - Mesothelial cells, Colon - Smooth muscle cells, Pancreas - Ductal cells, Prostate - Smooth muscle cells, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Region enriched"	"Detected in all"	5	"cerebellum: 68.1"	"HPA049280, HPA078816"	Approved		Approved	"Nucleoli,Plasma membrane"	"Secreted to extracellular matrix"	"Cell adhesion"	Yes	No				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 35: Non-specific - DNA binding"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 69: Neurons - Neuronal signaling"		"Nucleoli, Plasma membrane"		"HPA049280: , HPA078816: "	"unprognostic (1.52e-3)"	"unprognostic (1.36e-1)"	"unprognostic (1.18e-1)"	"unprognostic (4.51e-4)"	"unprognostic (2.47e-2)"	"unprognostic (7.61e-3)"	"unprognostic (1.22e-1)"	"unprognostic (4.59e-2)"	"unprognostic (2.32e-2)"	"unprognostic (8.82e-2)"	"unprognostic (9.20e-3)"	"unprognostic (7.12e-2)"	"prognostic favorable (8.17e-11)"	"unprognostic (3.32e-2)"	"unprognostic (5.63e-2)"	"unprognostic (1.69e-2)"	"unprognostic (9.90e-4)"
MMP25	"MMP20, MMPL1, MT6-MMP"	ENSG00000008516	"Matrix metallopeptidase 25"	Q9NPA2	16	3046062-3060726	"Enzymes, Predicted secreted proteins"		"Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"bone marrow: 32.8;lymphoid tissue: 79.9"	"Cell type enhanced"	"Detected in some"		"Kupffer cells: 3.8;Langerhans cells: 3.5;Macrophages: 4.1;Schwann cells: 4.3;Serous glandular cells: 4.3;T-cells: 4.2"	"Cancer enriched"	"Detected in many"	5	"testis cancer: 7.1"	"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in some"	5	"basophil: 18.3;neutrophil: 20.3"	"Lineage enriched"	"Detected in single"	39	"granulocytes: 20.3"	"Cancer enhanced"	"Detected in some"		"Leukemia: 2.6"	"Adipose visceral - Neutrophils, Heart muscle - Neutrophils, Liver - Neutrophils, Lung - Neutrophil_2, Skeletal muscle - Neutrophils, Stomach - Neutrophils, Thyroid - Neutrophils"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"CAB025177, HPA055640"	Uncertain		Supported	"Plasma membrane"	"Secreted to blood"	Enzyme	NA	NA		120000	"Cluster 35: Neutrophils - Protein binding"	"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response"	"Cluster 47: Endothelial cells - Vasculature"	"Cluster 49: HMC-1 - Innate immune response"	"Cluster 74: Neutrophils - Degranulation"		"Plasma membrane"		"CAB025177: , HPA055640: "	"unprognostic (4.51e-3)"	"unprognostic (9.28e-3)"	"unprognostic (7.57e-2)"	"unprognostic (2.95e-3)"	"unprognostic (2.26e-1)"	"prognostic favorable (1.09e-5)"	"unprognostic (1.36e-1)"	"unprognostic (7.39e-3)"	"unprognostic (7.63e-3)"	"unprognostic (2.29e-2)"	"unprognostic (1.51e-1)"	"unprognostic (2.53e-2)"	"unprognostic (2.37e-3)"	"unprognostic (1.17e-2)"	"unprognostic (8.30e-2)"	"unprognostic (4.01e-1)"	"unprognostic (2.02e-1)"
MMP26	"endometase, MGC126590, MGC126592"	ENSG00000167346	"Matrix metallopeptidase 26"	Q9NRE1	11	4704784-4992431	"Enzymes, Predicted intracellular proteins, Predicted secreted proteins"	"Collagen degradation"	"Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	16	"endometrium 1: 8.8"	"Cell type enriched"	"Detected in some"	11	"Glandular and luminal cells: 166.7"	"Cancer enriched"	"Detected in some"	4	"endometrial cancer: 8.8"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"																	"Secreted to extracellular matrix"	Enzyme	NA	NA				"Cluster 62: Connective tissue - ECM organization"		"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 37: Glandular & Luminal cells - Unknown function"								"unprognostic (4.21e-3)"								"unprognostic (2.63e-1)"					
MMP28	"EPILYSIN, MM28, MMP-25, MMP-28"	ENSG00000271447	"Matrix metallopeptidase 28"	Q9H239	17	35756249-35795707	"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"		"Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 92.0;Alveolar cells type 2: 76.4;Distal enterocytes: 146.7;Paneth cells: 58.3;Proximal enterocytes: 77.6"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	5	"naive CD4 T-cell: 6.3;naive CD8 T-cell: 3.8"	"Lineage enriched"	"Detected in single"	7	"T-cells: 6.3"	"Cancer enhanced"	"Detected in many"		"Gallbladder cancer: 55.6"	"Breast - Adipocytes (Breast), Skin - Keratinocyte (other), Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"								"Secreted to extracellular matrix"	Enzyme	NA	NA			"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 21: Testis - Unknown function"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 5: Enterocytes - Absorption"	1				"unprognostic (7.99e-3)"	"unprognostic (3.27e-1)"	"unprognostic (2.20e-1)"	"unprognostic (1.01e-1)"	"unprognostic (7.52e-2)"	"unprognostic (1.63e-1)"	"unprognostic (6.90e-2)"	"unprognostic (1.09e-2)"	"unprognostic (1.51e-1)"	"unprognostic (1.99e-1)"	"prognostic unfavorable (6.28e-6)"	"unprognostic (9.37e-2)"	"unprognostic (1.31e-1)"	"unprognostic (8.87e-2)"	"unprognostic (1.74e-1)"	"unprognostic (1.76e-2)"	"unprognostic (3.27e-3)"
MMP3	"STMY, STMY1"	ENSG00000149968	"Matrix metallopeptidase 3"	P08254	11	102835801-102843609	"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"	"Collagen degradation, Immunity, Innate immunity"	"Hydrolase, Metalloprotease, Protease"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adipose tissue: 87.7;salivary gland: 277.6"	"Cell type enhanced"	"Detected in some"		"Basal respiratory cells: 19.9;Early spermatids: 31.2;Extravillous trophoblasts: 16.6;Fibroblasts: 51.3;Pancreatic endocrine cells: 17.0;Serous glandular cells: 11.0;Smooth muscle cells: 18.4"	"Cancer enhanced"	"Detected in many"		"head and neck cancer: 59.9"	"Region enriched"	"Detected in some"	5	"thalamus: 15.4"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	10	"Brain cancer: 71.9;Sarcoma: 120.5"		"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA007875	Uncertain		Supported	Vesicles	"Secreted to extracellular matrix"	Immunity	NA	NA	2540000	460000		"Cluster 38: Salivary gland - Salivary secretion"	"Cluster 12: Non-specific - Vasculature"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 45: Non-specific - Mixed function"	1	Vesicles		"HPA007875: AB_1079396"	"unprognostic (2.27e-1)"	"prognostic unfavorable (9.73e-4)"	"unprognostic (1.63e-3)"	"unprognostic (5.11e-3)"	"unprognostic (3.78e-1)"	"unprognostic (5.11e-2)"	"unprognostic (5.26e-6)"	"unprognostic (3.46e-2)"	"unprognostic (7.14e-2)"	"unprognostic (2.87e-1)"	"prognostic unfavorable (4.09e-4)"	"unprognostic (3.26e-2)"	"unprognostic (1.22e-15)"	"unprognostic (3.17e-1)"	"unprognostic (1.55e-1)"	"unprognostic (3.43e-2)"	"unprognostic (2.34e-1)"
MMP7	"MPSL1, PUMP-1"	ENSG00000137673	"Matrix metallopeptidase 7"	P09237	11	102520508-102530750	"Cancer-related genes, Enzymes, Plasma proteins, Predicted secreted proteins"	"Collagen degradation"	"Hydrolase, Metalloprotease, Protease"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"gallbladder: 492.8;salivary gland: 260.0;urinary bladder: 203.4"	"Group enriched"	"Detected in many"	5	"Ductal cells: 7365.3;Pancreatic endocrine cells: 4761.1"	"Cancer enhanced"	"Detected in all"		"pancreatic cancer: 352.1"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Bile duct cancer: 627.7;Uterine cancer: 461.4"	"Liver - Cholangiocyte, Pancreas - Ductal cells, Skin - Eccrine sweat gland cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"CAB025869, HPA051358"	Supported		Approved	Nucleoplasm,Vesicles,Cytosol	"Secreted to extracellular matrix"	Enzyme	NA	NA	2810000	35000		"Cluster 58: Placenta - Pregnancy"		"Cluster 15: Kidney cancer - Membrane components"	"Cluster 45: Non-specific - Mixed function"	1	"Nucleoplasm, Vesicles"	Cytosol	"CAB025869: , HPA051358: AB_2681452"	"unprognostic (1.06e-3)"	"unprognostic (9.51e-2)"	"unprognostic (4.15e-2)"	"unprognostic (1.38e-1)"	"unprognostic (7.70e-3)"	"unprognostic (7.28e-2)"	"prognostic unfavorable (2.53e-4)"	"prognostic unfavorable (3.38e-4)"	"unprognostic (3.96e-2)"	"unprognostic (5.63e-2)"	"unprognostic (6.59e-3)"	"unprognostic (1.51e-1)"	"unprognostic (6.36e-3)"	"unprognostic (1.42e-2)"	"unprognostic (5.54e-2)"	"unprognostic (1.48e-1)"	"unprognostic (1.46e-1)"
MMP8	CLG1	ENSG00000118113	"Matrix metallopeptidase 8"	P22894	11	102711796-102727050	"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Collagen degradation"	"Hydrolase, Metalloprotease, Protease"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	37	"bone marrow: 496.8"	"Cell type enhanced"	"Detected in some"		"Hofbauer cells: 3.5;Macrophages: 1.4"	"Cancer enriched"	"Detected in single"	17	"melanoma: 5.7"	"Low region specificity"	"Detected in single"			"Immune cell enhanced"	"Detected in single"		"non-classical monocyte: 1.7"	"Lineage enhanced"	"Detected in single"		"monocytes: 1.7"	"Cancer enriched"	"Detected in some"	42	"skin cancer: 47.1"	"Lung - Neutrophil_1, Thyroid - Neutrophils"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA021221, HPA021763, HPA022935"	Enhanced		Approved	Vesicles	"Secreted to extracellular matrix"	Enzyme	NA	NA		360000	"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 6: Bone marrow - Innate immune response"	"Cluster 12: Non-specific - Vasculature"	"Cluster 69: Skin cancer - ECM organization"	"Cluster 74: Neutrophils - Degranulation"		Vesicles		"HPA021221: AB_1854043, HPA021763: , HPA022935: AB_1854044"	"unprognostic (3.03e-1)"	"unprognostic (8.49e-5)"	"unprognostic (1.08e-2)"	"unprognostic (3.95e-3)"	"unprognostic (1.80e-1)"	"unprognostic (1.01e-2)"		"unprognostic (7.68e-3)"	"unprognostic (1.27e-1)"	"unprognostic (4.92e-2)"	"unprognostic (6.64e-3)"		"unprognostic (2.45e-6)"	"unprognostic (2.33e-4)"	"unprognostic (1.33e-1)"	"unprognostic (4.97e-1)"	"unprognostic (2.30e-2)"
